threshhold,FRR,FAR
5.9,60.0,1.9230769230769231
6.0,56.00000000000001,1.9230769230769231
6.1000000000000005,52.0,1.9230769230769231
6.2,52.0,1.9230769230769231
6.300000000000001,52.0,1.9230769230769231
6.4,52.0,1.9230769230769231
6.5,52.0,1.9230769230769231
6.6000000000000005,52.0,1.9230769230769231
6.7,52.0,3.8461538461538463
6.800000000000001,48.0,3.8461538461538463
6.9,48.0,3.8461538461538463
7.0,48.0,5.769230769230769
7.1000000000000005,44.0,7.6923076923076925
7.2,44.0,9.615384615384617
7.300000000000001,44.0,9.615384615384617
7.4,44.0,9.615384615384617
7.5,44.0,11.538461538461538
7.6000000000000005,44.0,11.538461538461538
7.7,44.0,11.538461538461538
7.800000000000001,44.0,11.538461538461538
7.9,44.0,11.538461538461538
8.0,40.0,13.461538461538462
8.1,40.0,13.461538461538462
8.200000000000001,40.0,13.461538461538462
8.3,40.0,13.461538461538462
8.4,40.0,13.461538461538462
8.5,40.0,13.461538461538462
8.6,40.0,17.307692307692307
8.700000000000001,40.0,17.307692307692307
8.8,40.0,17.307692307692307
8.9,40.0,17.307692307692307
9.0,40.0,17.307692307692307
9.1,40.0,17.307692307692307
9.200000000000001,40.0,17.307692307692307
9.3,40.0,17.307692307692307
9.4,40.0,17.307692307692307
9.5,40.0,17.307692307692307
9.600000000000001,40.0,17.307692307692307
9.700000000000001,40.0,17.307692307692307
9.8,40.0,17.307692307692307
9.9,40.0,17.307692307692307
10.0,36.0,19.230769230769234
10.100000000000001,36.0,19.230769230769234
10.200000000000001,36.0,19.230769230769234
10.3,36.0,19.230769230769234
10.4,32.0,19.230769230769234
10.5,32.0,19.230769230769234
10.600000000000001,32.0,19.230769230769234
10.700000000000001,32.0,19.230769230769234
10.8,32.0,19.230769230769234
10.9,32.0,19.230769230769234
11.0,32.0,19.230769230769234
11.100000000000001,32.0,19.230769230769234
11.200000000000001,32.0,21.153846153846153
11.3,32.0,21.153846153846153
11.4,28.000000000000004,21.153846153846153
11.5,24.0,21.153846153846153
11.600000000000001,24.0,21.153846153846153
11.700000000000001,20.0,21.153846153846153
11.8,20.0,21.153846153846153
11.9,20.0,21.153846153846153
12.0,20.0,21.153846153846153
12.100000000000001,20.0,21.153846153846153
12.200000000000001,20.0,21.153846153846153
12.3,20.0,21.153846153846153
12.4,20.0,21.153846153846153
12.5,20.0,21.153846153846153
12.600000000000001,20.0,21.153846153846153
12.700000000000001,20.0,21.153846153846153
12.8,20.0,21.153846153846153
12.9,20.0,21.153846153846153
13.0,20.0,21.153846153846153
13.100000000000001,20.0,21.153846153846153
13.200000000000001,20.0,21.153846153846153
13.3,20.0,21.153846153846153
13.4,16.0,21.153846153846153
13.5,16.0,21.153846153846153
13.600000000000001,16.0,21.153846153846153
13.700000000000001,16.0,21.153846153846153
13.8,16.0,21.153846153846153
13.9,16.0,23.076923076923077
14.0,16.0,23.076923076923077
14.100000000000001,16.0,23.076923076923077
14.200000000000001,12.0,23.076923076923077
14.3,12.0,23.076923076923077
14.4,12.0,23.076923076923077
14.5,12.0,23.076923076923077
14.600000000000001,12.0,25.0
14.700000000000001,12.0,25.0
14.8,12.0,25.0
14.9,12.0,25.0
15.0,12.0,25.0
15.100000000000001,12.0,25.0
15.200000000000001,12.0,25.0
15.3,12.0,25.0
15.4,12.0,25.0
15.5,12.0,25.0
15.600000000000001,12.0,25.0
15.700000000000001,12.0,25.0
15.8,12.0,25.0
15.9,12.0,25.0
16.0,12.0,25.0
16.1,12.0,25.0
16.2,12.0,25.0
16.3,12.0,25.0
16.400000000000002,12.0,26.923076923076923
16.5,12.0,26.923076923076923
16.6,12.0,26.923076923076923
16.7,12.0,26.923076923076923
16.8,12.0,26.923076923076923
16.900000000000002,12.0,26.923076923076923
17.0,12.0,26.923076923076923
17.1,8.0,26.923076923076923
17.2,8.0,26.923076923076923
17.3,8.0,26.923076923076923
17.400000000000002,8.0,26.923076923076923
17.5,8.0,26.923076923076923
17.6,8.0,26.923076923076923
17.7,8.0,26.923076923076923
17.8,8.0,26.923076923076923
17.900000000000002,8.0,26.923076923076923
18.0,8.0,26.923076923076923
18.1,8.0,28.846153846153843
18.2,8.0,28.846153846153843
18.3,8.0,28.846153846153843
18.400000000000002,8.0,28.846153846153843
18.5,8.0,28.846153846153843
18.6,8.0,28.846153846153843
18.7,8.0,28.846153846153843
18.8,8.0,28.846153846153843
18.900000000000002,8.0,28.846153846153843
19.0,8.0,28.846153846153843
19.1,8.0,28.846153846153843
19.200000000000003,8.0,28.846153846153843
19.3,8.0,28.846153846153843
19.400000000000002,8.0,28.846153846153843
19.5,8.0,28.846153846153843
19.6,8.0,28.846153846153843
19.700000000000003,8.0,28.846153846153843
19.8,8.0,28.846153846153843
19.900000000000002,8.0,28.846153846153843
20.0,8.0,28.846153846153843
20.1,4.0,28.846153846153843
20.200000000000003,4.0,28.846153846153843
20.3,4.0,28.846153846153843
20.400000000000002,4.0,30.76923076923077
20.5,4.0,30.76923076923077
20.6,4.0,30.76923076923077
20.700000000000003,4.0,30.76923076923077
20.8,4.0,30.76923076923077
20.900000000000002,4.0,30.76923076923077
